JobLink,JobTitle,AccountName,JobLocation,JobDescription,JobId,PostDate,titleScore,State,CompanyLink
https://www.indeed.com/rc/clk?jk=781f99d87dd811eb&fccid=312920717c3edd0d,"Manager, Data Management & Reporting",Nationwide Mutual Insurance Company,"Columbus, OH",Extensive experience in functional  process  information  and data modeling  data management and warehousing  and applications integration,781f99d87dd811eb,2017-04-13,80,OH,https://www.nationwide.com/
https://www.indeed.com/rc/clk?jk=232a538ccc08a910&fccid=9f9a2d96980f84ec,Master Data Governance Manager,Modis,"Carlsbad, CA",Master Data Governance Manager Job Responsibilities   Design and deploy solutions for data loads  data cleanup  data quality   integrity checks  semi automated     Easily apply,232a538ccc08a910,2017-04-13,95,CA,www.modis.com/
https://www.indeed.com/rc/clk?jk=b97fad1aa69627ae&fccid=9d12475b6cfc0b73,Master Data Management Analyst,"Aviall, Inc.","Irving, TX",Horizon for data governance  Experience in data quality and governance  Lead in establishing data governance systems and,b97fad1aa69627ae,2017-04-14,80,TX,https://www.aviall.com/
https://www.indeed.com/rc/clk?jk=4ac179ca97068a8b&fccid=3b224d85b2deb534,"Master Data Steward - Lakeville, MN",Post Consumer Brands,"Lakeville, MN",They are trustees  ensuring that data quality is maintained and governance to data rules are followed  so the data can effectively support business processes,4ac179ca97068a8b,2017-04-08,85,MN,https://www.postconsumerbrands.com/
https://www.indeed.com/rc/clk?jk=29d89a515770bdb2&fccid=967f96569bbc9f66,Big Data Manager,Argus,"White Plains, NY",Experience in Data Governance  data dictionary  lineage  procedures  mapping   5  years    experience in Data Quality Data Profiling,29d89a515770bdb2,2017-04-08,80,NY,www.argussoftware.com/
https://www.indeed.com/rc/clk?jk=5c501b84f12448aa&fccid=fca5dd60243b69d2,Data Manager,Subway,"Milford, CT",Sound expertise in Data Quality  Data Profiling  Data Analysis  Master Data Management  Data Archival and Data Migration strategies,5c501b84f12448aa,2017-04-07,80,CT,www.subway.com/
https://www.indeed.com/rc/clk?jk=1307fbb241eaa896&fccid=2dd390c3a48a7ed0,"Manager, Data & Analytics",Kpmg,"Los Angeles, CA",Strong understanding of governance  controls  process and procedures  centers of competency  change management  conceptual data modeling  master data management,1307fbb241eaa896,2017-04-13,80,CA,https://home.kpmg.com/
https://www.indeed.com/rc/clk?jk=29b9a1272f75cb78&fccid=734cb5a01ee60f80,"Program Manager, Data Management",Microsoft,"Issaquah, WA",EIM  Enterprise Information Management  Enterprise Data Management  Data Management  Data Strategy  Data Quality Management  Data Governance  Master Data,29b9a1272f75cb78,2017-03-30,80,WA,https://www.microsoft.com/
https://www.indeed.com/company/SRA-Staffing/jobs/Program-Manager-Data-Governance-50fc7904903f3f28?fccid=96c11eb9743ccc2a,Program Manager for the Data Governance,Sra Information Technology,"New York, NY",Our client needs a Program Manager for the Data Governance team   In addition  as the program embarks on building a collaborative data management platform  the     Easily apply,50fc7904903f3f28,2017-04-13,95,NY,www.sra.com.au/
https://www.indeed.com/company/WATI/jobs/Data-Steward-a43f8b564135348e?fccid=3b60b37abe995965,Data Steward,Wati,"New York, NY",Document and maintain data calculation rules  data sourcing rules  data transformation rules and data lineage in a centralized data governance repository      Easily apply,a43f8b564135348e,2017-04-01,85,NY,www.wati.org/
